"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1","EQD"
"02869099999","1911-01-20T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","290,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09678,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-20T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","290,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09740,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-21T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09708,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-21T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09639,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-21T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09511,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-22T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","360,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09519,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-22T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","340,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09583,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-22T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","320,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","09659,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-23T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","09798,1",,"03,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-23T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","09759,1",,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-23T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09735,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,
